,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
538,Michael Zetterer,SV Werder Bremen,Goalkeeper,"Jul 12, 1995",27,Germany,€500k
539,Mio Backhaus,SV Werder Bremen,Goalkeeper,"Apr 16, 2004",19,Germany,€300k
540,Dudu,SV Werder Bremen,Goalkeeper,"Feb 10, 1999",24,Germany,€200k
541,Louis Lord,SV Werder Bremen,Goalkeeper,"Oct 22, 2003",19,Germany,€150k
542,Marco Friedl,SV Werder Bremen,Centre-Back,"Mar 16, 1998",25,Austria,€7.00m
543,Amos Pieper,SV Werder Bremen,Centre-Back,"Jan 17, 1998",25,Germany,€6.00m
544,Niklas Stark,SV Werder Bremen,Centre-Back,"Apr 14, 1995",28,Germany,€5.50m
545,Milos Veljkovic,SV Werder Bremen,Centre-Back,"Sep 26, 1995",27,Serbia,€5.50m
546,Anthony Jung,SV Werder Bremen,Centre-Back,"Nov 3, 1991",31,Germany,€1.50m
547,Fabio Chiarodia,SV Werder Bremen,Centre-Back,"Jun 5, 2005",18,Italy,€1.00m
548,Tim-Justin Dietrich,SV Werder Bremen,Centre-Back,"Nov 8, 2002",20,Germany,€200k
549,Lee Buchanan,SV Werder Bremen,Left-Back,"Mar 7, 2001",22,England,€3.50m
550,Mitchell Weiser,SV Werder Bremen,Right-Back,"Apr 21, 1994",29,Germany,€6.00m
551,Felix Agu,SV Werder Bremen,Right-Back,"Sep 27, 1999",23,Germany,€1.00m
552,Ilia Gruev,SV Werder Bremen,Defensive Midfield,"May 6, 2000",23,Bulgaria,€3.00m
553,Nicolai Rapp,SV Werder Bremen,Defensive Midfield,"Dec 13, 1996",26,Germany,€700k
554,Christian Groß,SV Werder Bremen,Defensive Midfield,"Feb 8, 1989",34,Germany,€500k
555,Tom Berger,SV Werder Bremen,Defensive Midfield,"Jul 31, 2001",21,Germany,€200k
556,Jens Stage,SV Werder Bremen,Central Midfield,"Nov 8, 1996",26,Denmark,€5.00m
557,Jean Manuel Mbom,SV Werder Bremen,Central Midfield,"Feb 24, 2000",23,Germany,€800k
558,Dikeni Salifou,SV Werder Bremen,Central Midfield,"Jun 8, 2003",20,Togo,€200k
559,Leon Opitz,SV Werder Bremen,Left Midfield,"Apr 11, 2005",18,Germany,-
560,Romano Schmid,SV Werder Bremen,Attacking Midfield,"Jan 27, 2000",23,Austria,€4.50m
561,Leonardo Bittencourt,SV Werder Bremen,Attacking Midfield,"Dec 19, 1993",29,Germany,€2.80m
562,Niklas Schmidt,SV Werder Bremen,Attacking Midfield,"Mar 1, 1998",25,Germany,€2.50m
563,Eren Dinkçi,SV Werder Bremen,Right Winger,"Dec 13, 2001",21,Germany,€1.00m
564,Benjamin Goller,SV Werder Bremen,Right Winger,"Jan 1, 1999",24,Germany,€450k
565,Maximilian Philipp,SV Werder Bremen,Second Striker,"Mar 1, 1994",29,Germany,€2.00m
566,Nick Woltemade,SV Werder Bremen,Second Striker,"Feb 14, 2002",21,Germany,€1.50m
567,Niclas Füllkrug,SV Werder Bremen,Centre-Forward,"Feb 9, 1993",30,Germany,€13.00m
568,Marvin Ducksch,SV Werder Bremen,Centre-Forward,"Mar 7, 1994",29,Germany,€7.50m
569,Oliver Burke,SV Werder Bremen,Centre-Forward,"Apr 7, 1997",26,Scotland,€2.50m
570,Alexander Schwolow,FC Schalke 04,Goalkeeper,"Jun 2, 1992",31,Germany,€900k
571,Ralf Fährmann,FC Schalke 04,Goalkeeper,"Sep 27, 1988",34,Germany,€400k
572,Justin Heekeren,FC Schalke 04,Goalkeeper,"Nov 27, 2000",22,Germany,€250k
573,Michael Langer,FC Schalke 04,Goalkeeper,"Jan 6, 1985",38,Austria,€50k
574,Malick Thiaw,FC Schalke 04,Centre-Back,"Aug 8, 2001",21,Germany,€20.00m
575,Moritz Jenz,FC Schalke 04,Centre-Back,"Apr 30, 1999",24,Germany,€7.50m
576,Sepp van den Berg,FC Schalke 04,Centre-Back,"Dec 20, 2001",21,Netherlands,€5.00m
577,Leo Greiml,FC Schalke 04,Centre-Back,"Jul 3, 2001",21,Austria,€1.20m
578,Maya Yoshida,FC Schalke 04,Centre-Back,"Aug 24, 1988",34,Japan,€900k
579,Marcin Kaminski,FC Schalke 04,Centre-Back,"Jan 15, 1992",31,Poland,€700k
580,Timothée Kolodziejczak,FC Schalke 04,Centre-Back,"Oct 1, 1991",31,France,€400k
581,Ibrahima Cissé,FC Schalke 04,Centre-Back,"Feb 15, 2001",22,Mali,€200k
582,Julius Schell,FC Schalke 04,Centre-Back,"Jan 10, 2000",23,Germany,€125k
583,Jere Uronen,FC Schalke 04,Left-Back,"Jul 13, 1994",28,Finland,€1.00m
584,Kerim Calhanoglu,FC Schalke 04,Left-Back,"Aug 26, 2002",20,Germany,€800k
585,Joey Müller,FC Schalke 04,Left-Back,"Aug 30, 2000",22,Germany,€175k
586,Cédric Brunner,FC Schalke 04,Right-Back,"Feb 17, 1994",29,Switzerland,€1.80m
587,Mehmet Aydın,FC Schalke 04,Right-Back,"Feb 9, 2002",21,Türkiye,€1.50m
588,Henning Matriciani,FC Schalke 04,Right-Back,"Mar 14, 2000",23,Germany,€1.20m
589,Alex Král,FC Schalke 04,Defensive Midfield,"May 19, 1998",25,Czech Republic,€7.00m
590,Éder Balanta,FC Schalke 04,Defensive Midfield,"Feb 28, 1993",30,Colombia,€2.00m
591,Florian Flick,FC Schalke 04,Defensive Midfield,"May 1, 2000",23,Germany,€1.50m
592,Niklas Tauer,FC Schalke 04,Defensive Midfield,"Feb 17, 2001",22,Germany,€1.20m
593,Tom Krauß,FC Schalke 04,Central Midfield,"Jun 22, 2001",22,Germany,€7.00m
594,Rodrigo Zalazar,FC Schalke 04,Central Midfield,"Aug 12, 1999",23,Uruguay,€4.00m
595,Danny Latza,FC Schalke 04,Central Midfield,"Dec 7, 1989",33,Germany,€500k
596,Nassim Boujellab,FC Schalke 04,Central Midfield,"Jun 20, 1999",24,Morocco,€400k
597,Thomas Ouwejan,FC Schalke 04,Left Midfield,"Sep 30, 1996",26,Netherlands,€2.00m
598,Tobias Mohr,FC Schalke 04,Left Midfield,"Aug 24, 1995",27,Germany,€1.20m
599,Florent Mollet,FC Schalke 04,Attacking Midfield,"Nov 19, 1991",31,France,€2.00m
600,Dominick Drexler,FC Schalke 04,Attacking Midfield,"May 26, 1990",33,Germany,€750k
601,Soichiro Kozuki,FC Schalke 04,Attacking Midfield,"Dec 22, 2000",22,Japan,€600k
602,Blendi Idrizi,FC Schalke 04,Attacking Midfield,"May 2, 1998",25,Kosovo,€400k
603,Marius Bülter,FC Schalke 04,Left Winger,"Mar 29, 1993",30,Germany,€3.00m
604,Andreas Ivan,FC Schalke 04,Left Winger,"Jan 10, 1995",28,Romania,€125k
605,Tim Skarke,FC Schalke 04,Right Winger,"Sep 7, 1996",26,Germany,€1.20m
606,Sidi Sané,FC Schalke 04,Right Winger,"Apr 21, 2003",20,Germany,€200k
607,Jordan Larsson,FC Schalke 04,Centre-Forward,"Jun 20, 1997",26,Sweden,€3.00m
608,Michael Frey,FC Schalke 04,Centre-Forward,"Jul 19, 1994",28,Switzerland,€2.00m
609,Kenan Karaman,FC Schalke 04,Centre-Forward,"Mar 5, 1994",29,Türkiye,€1.40m
610,Simon Terodde,FC Schalke 04,Centre-Forward,"Mar 2, 1988",35,Germany,€900k
611,Sebastian Polter,FC Schalke 04,Centre-Forward,"Apr 1, 1991",32,Germany,€800k
612,Keke Topp,FC Schalke 04,Centre-Forward,"Mar 25, 2004",19,Germany,€500k
613,Manuel Riemann,VfL Bochum,Goalkeeper,"Sep 9, 1988",34,Germany,€1.00m
614,Marko Johansson,VfL Bochum,Goalkeeper,"Aug 25, 1998",24,Sweden,€400k
615,Michael Esser,VfL Bochum,Goalkeeper,"Nov 22, 1987",35,Germany,€300k
616,Paul Grave,VfL Bochum,Goalkeeper,"Apr 10, 2001",22,Germany,€100k
617,Erhan Masovic,VfL Bochum,Centre-Back,"Nov 22, 1998",24,Serbia,€8.00m
618,Ivan Ordets,VfL Bochum,Centre-Back,"Jul 8, 1992",30,Ukraine,€3.00m
619,Keven Schlotterbeck,VfL Bochum,Centre-Back,"Apr 28, 1997",26,Germany,€3.00m
620,Dominique Heintz,VfL Bochum,Centre-Back,"Aug 15, 1993",29,Germany,€1.20m
621,Tim Oermann,VfL Bochum,Centre-Back,"Oct 6, 2003",19,Germany,€800k
622,Vasilios Lampropoulos,VfL Bochum,Centre-Back,"Mar 31, 1990",33,Greece,€500k
623,Mohammed Tolba,VfL Bochum,Centre-Back,"Jul 19, 2004",18,Germany,€200k
624,Danilo Soares,VfL Bochum,Left-Back,"Oct 29, 1991",31,Brazil,€1.80m
625,Jannes Horn,VfL Bochum,Left-Back,"Feb 6, 1997",26,Germany,€1.20m
626,Konstantinos Stafylidis,VfL Bochum,Left-Back,"Dec 2, 1993",29,Greece,€1.20m
627,Jordi Osei-Tutu,VfL Bochum,Right-Back,"Oct 2, 1998",24,England,€1.20m
628,Saidy Janko,VfL Bochum,Right-Back,"Oct 22, 1995",27,The Gambia,€1.00m
629,Cristian Gamboa,VfL Bochum,Right-Back,"Oct 24, 1989",33,Costa Rica,€600k
630,Jacek Goralski,VfL Bochum,Defensive Midfield,"Sep 21, 1992",30,Poland,€700k
631,Anthony Losilla,VfL Bochum,Defensive Midfield,"Mar 10, 1986",37,France,€500k
632,Patrick Osterhage,VfL Bochum,Central Midfield,"Feb 1, 2000",23,Germany,€4.00m
633,Pierre Kunde,VfL Bochum,Central Midfield,"Jul 26, 1995",27,Cameroon,€1.70m
634,Kevin Stöger,VfL Bochum,Attacking Midfield,"Aug 27, 1993",29,Austria,€3.00m
635,Philipp Förster,VfL Bochum,Attacking Midfield,"Feb 4, 1995",28,Germany,€2.80m
636,Gerrit Holtmann,VfL Bochum,Left Winger,"Mar 25, 1995",28,Philippines,€2.50m
637,Christopher Antwi-Adjei,VfL Bochum,Left Winger,"Feb 7, 1994",29,Ghana,€2.20m
638,Takuma Asano,VfL Bochum,Right Winger,"Nov 10, 1994",28,Japan,€4.00m
639,Tarsis Bonga,VfL Bochum,Right Winger,"Jan 10, 1997",26,Germany,€300k
640,Philipp Hofmann,VfL Bochum,Centre-Forward,"Mar 30, 1993",30,Germany,€2.80m
641,Simon Zoller,VfL Bochum,Centre-Forward,"Jun 26, 1991",32,Germany,€1.10m
642,Lys Mousset,VfL Bochum,Centre-Forward,"Feb 8, 1996",27,France,€1.00m
643,Moritz Broschinski,VfL Bochum,Centre-Forward,"Sep 23, 2000",22,Germany,€1.00m
644,Silvere Ganvoula,VfL Bochum,Centre-Forward,"Jun 29, 1996",27,Congo,€600k
