,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
567,Jayden Braaf,Hellas Verona,Left Winger,"Aug 31, 2002",20,Netherlands,€1.00m
568,Cyril Ngonge,Hellas Verona,Right Winger,"May 26, 2000",23,Belgium,€2.00m
569,Yayah Kallon,Hellas Verona,Right Winger,"Jun 30, 2001",22,Sierra Leone,€1.50m
570,Davide Bragantini,Hellas Verona,Right Winger,"Aug 17, 2003",19,Italy,€150k
571,Denis Cazzadori,Hellas Verona,Second Striker,"Mar 16, 2004",19,Italy,€150k
572,Thomas Henry,Hellas Verona,Centre-Forward,"Sep 20, 1994",28,France,€4.00m
573,Roberto Piccoli,Hellas Verona,Centre-Forward,"Jan 27, 2001",22,Italy,€3.50m
574,Kevin Lasagna,Hellas Verona,Centre-Forward,"Aug 10, 1992",30,Italy,€1.80m
575,Adolfo Gaich,Hellas Verona,Centre-Forward,"Feb 26, 1999",24,Argentina,€1.80m
576,Milan Djuric,Hellas Verona,Centre-Forward,"May 22, 1990",33,Bosnia-Herzegovina,€1.00m
577,Federico Caia,Hellas Verona,Centre-Forward,"Apr 21, 2003",20,Italy,€150k
578,Guillermo Ochoa,US Salernitana 1919,Goalkeeper,"Jul 13, 1985",37,Mexico,€1.50m
579,Luigi Sepe,US Salernitana 1919,Goalkeeper,"May 8, 1991",32,Italy,€1.00m
580,Alessandro Micai,US Salernitana 1919,Goalkeeper,"Jul 24, 1993",29,Italy,€500k
581,Vincenzo Fiorillo,US Salernitana 1919,Goalkeeper,"Jan 13, 1990",33,Italy,€200k
582,Jacopo De Matteis,US Salernitana 1919,Goalkeeper,"Dec 28, 2002",20,Italy,€25k
583,Andrea Sorrentino,US Salernitana 1919,Goalkeeper,"Oct 21, 2004",18,Italy,€25k
584,Pasquale Allocca,US Salernitana 1919,Goalkeeper,"May 9, 2005",18,Italy,-
585,Flavius Daniliuc,US Salernitana 1919,Centre-Back,"Apr 27, 2001",22,Austria,€8.00m
586,Lorenzo Pirola,US Salernitana 1919,Centre-Back,"Feb 20, 2002",21,Italy,€8.00m
587,Matteo Lovato,US Salernitana 1919,Centre-Back,"Feb 14, 2000",23,Italy,€6.00m
588,Dylan Bronn,US Salernitana 1919,Centre-Back,"Jun 19, 1995",28,Tunisia,€2.50m
589,William Troost-Ekong,US Salernitana 1919,Centre-Back,"Sep 1, 1993",29,Nigeria,€2.50m
590,Norbert Gyömbér,US Salernitana 1919,Centre-Back,"Jul 3, 1992",30,Slovakia,€1.50m
591,Valerio Mantovani,US Salernitana 1919,Centre-Back,"Apr 18, 1996",27,Italy,€700k
592,Federico Fazio,US Salernitana 1919,Centre-Back,"Mar 17, 1987",36,Argentina,€400k
593,Andrei Motoc,US Salernitana 1919,Centre-Back,"Dec 13, 2002",20,Moldova,€75k
594,Domagoj Bradarić,US Salernitana 1919,Left-Back,"Dec 10, 1999",23,Croatia,€7.00m
595,Sanasi Sy,US Salernitana 1919,Left-Back,"Apr 4, 1999",24,France,€300k
596,Pasquale Mazzocchi,US Salernitana 1919,Right-Back,"Jul 27, 1995",27,Italy,€4.80m
597,Junior Sambia,US Salernitana 1919,Right-Back,"Sep 7, 1996",26,France,€3.50m
598,Wajdi Kechrida,US Salernitana 1919,Right-Back,"Nov 5, 1995",27,Tunisia,€800k
599,Frédéric Veseli,US Salernitana 1919,Right-Back,"Nov 20, 1992",30,Albania,€300k
600,Emil Bohinen,US Salernitana 1919,Defensive Midfield,"Mar 12, 1999",24,Norway,€3.40m
601,Ivan Radovanovic,US Salernitana 1919,Defensive Midfield,"Aug 29, 1988",34,Serbia,€400k
602,Giulio Maggiore,US Salernitana 1919,Central Midfield,"Mar 12, 1998",25,Italy,€5.50m
603,Lassana Coulibaly,US Salernitana 1919,Central Midfield,"Apr 10, 1996",27,Mali,€5.00m
604,Tonny Vilhena,US Salernitana 1919,Central Midfield,"Jan 3, 1995",28,Netherlands,€3.80m
605,Hans Nicolussi Caviglia,US Salernitana 1919,Central Midfield,"Jun 18, 2000",23,Italy,€2.00m
606,Domen Crnigoj,US Salernitana 1919,Central Midfield,"Nov 18, 1995",27,Slovenia,€1.50m
607,Leonardo Capezzi,US Salernitana 1919,Central Midfield,"Mar 28, 1995",28,Italy,€350k
608,Michele Cavion,US Salernitana 1919,Central Midfield,"Dec 8, 1994",28,Italy,€350k
609,Antonio Pio Iervolino,US Salernitana 1919,Central Midfield,"May 23, 2003",20,Italy,€100k
610,Antonio Candreva,US Salernitana 1919,Right Midfield,"Feb 28, 1987",36,Italy,€1.50m
611,Pawel Jaroszynski,US Salernitana 1919,Left Midfield,"Oct 2, 1994",28,Poland,€450k
612,Grigoris Kastanos,US Salernitana 1919,Attacking Midfield,"Jan 30, 1998",25,Cyprus,€1.80m
613,Reda Boultam,US Salernitana 1919,Attacking Midfield,"Mar 3, 1998",25,Netherlands,€400k
614,Andres Sfait,US Salernitana 1919,Left Winger,"Dec 9, 2004",18,Romania,€50k
615,Franck Ribéry,US Salernitana 1919,Left Winger,"Apr 7, 1983",40,France,-
616,Boulaye Dia,US Salernitana 1919,Centre-Forward,"Nov 16, 1996",26,Senegal,€25.00m
617,Krzysztof Piatek,US Salernitana 1919,Centre-Forward,"Jul 1, 1995",27,Poland,€7.00m
618,Federico Bonazzoli,US Salernitana 1919,Centre-Forward,"May 21, 1997",26,Italy,€4.00m
619,Erik Botheim,US Salernitana 1919,Centre-Forward,"Jan 10, 2000",23,Norway,€3.50m
620,Diego Valencia,US Salernitana 1919,Centre-Forward,"Jan 14, 2000",23,Chile,€2.00m
621,Edoardo Vergani,US Salernitana 1919,Centre-Forward,"Feb 6, 2001",22,Italy,€450k
622,Julian Kristoffersen,US Salernitana 1919,Centre-Forward,"May 10, 1997",26,Norway,€175k
623,Bartlomiej Dragowski,Spezia Calcio,Goalkeeper,"Aug 19, 1997",25,Poland,€4.50m
624,Jeroen Zoet,Spezia Calcio,Goalkeeper,"Jan 6, 1991",32,Netherlands,€400k
625,Petar Zovko,Spezia Calcio,Goalkeeper,"Mar 25, 2002",21,Bosnia-Herzegovina,€100k
626,Federico Marchetti,Spezia Calcio,Goalkeeper,"Feb 7, 1983",40,Italy,€50k
627,Leonardo Dido,Spezia Calcio,Goalkeeper,"Jan 5, 2004",19,Italy,€10k
628,Dimitrios Nikolaou,Spezia Calcio,Centre-Back,"Aug 13, 1998",24,Greece,€3.50m
629,Przemysław Wiśniewski,Spezia Calcio,Centre-Back,"Jul 27, 1998",24,Poland,€3.00m
630,Mattia Caldara,Spezia Calcio,Centre-Back,"May 5, 1994",29,Italy,€2.00m
631,Petko Hristov,Spezia Calcio,Centre-Back,"Mar 1, 1999",24,Bulgaria,€900k
632,Elio Capradossi,Spezia Calcio,Centre-Back,"Mar 11, 1996",27,Italy,€750k
633,Nicolò Bertola,Spezia Calcio,Centre-Back,"Mar 23, 2003",20,Italy,€150k
634,Simone Giorgeschi,Spezia Calcio,Centre-Back,"Jun 28, 2004",19,Italy,€50k
635,Jakub Kiwior,Spezia Calcio,Left-Back,"Feb 15, 2000",23,Poland,€25.00m
636,Arkadiusz Reca,Spezia Calcio,Left-Back,"Jun 17, 1995",28,Poland,€3.00m
637,João Moutinho,Spezia Calcio,Left-Back,"Jan 12, 1998",25,Portugal,€1.50m
638,Leonardo Gabelli,Spezia Calcio,Left-Back,"Apr 30, 2002",21,Italy,€25k
639,Kelvin Amian,Spezia Calcio,Right-Back,"Feb 8, 1998",25,France,€3.80m
640,Luca Vignali,Spezia Calcio,Right-Back,"Jan 11, 1996",27,Italy,€1.00m
641,Salva Ferrer,Spezia Calcio,Right-Back,"Jan 21, 1998",25,Spain,€800k
642,Ethan Ampadu,Spezia Calcio,Defensive Midfield,"Sep 14, 2000",22,Wales,€9.00m
643,Salvatore Esposito,Spezia Calcio,Defensive Midfield,"Oct 7, 2000",22,Italy,€3.30m
644,Albin Ekdal,Spezia Calcio,Defensive Midfield,"Jul 28, 1989",33,Sweden,€800k
645,Aurélien Nguiamba,Spezia Calcio,Defensive Midfield,"Jan 18, 1999",24,France,€300k
646,Simone Bastoni,Spezia Calcio,Central Midfield,"Nov 5, 1996",26,Italy,€6.50m
647,Szymon Żurkowski,Spezia Calcio,Central Midfield,"Sep 25, 1997",25,Poland,€3.50m
648,Mikael Egill Ellertsson,Spezia Calcio,Central Midfield,"Mar 11, 2002",21,Iceland,€1.50m
649,Mehdi Bourabia,Spezia Calcio,Central Midfield,"Aug 7, 1991",31,Morocco,€1.30m
650,Aimar Sher,Spezia Calcio,Central Midfield,"Dec 20, 2002",20,Sweden,€800k
651,Tio Cipot,Spezia Calcio,Central Midfield,"Apr 20, 2003",20,Slovenia,€700k
652,Emil Kornvig,Spezia Calcio,Central Midfield,"Apr 28, 2000",23,Denmark,€450k
653,Jacopo Sala,Spezia Calcio,Central Midfield,"Dec 5, 1991",31,Italy,€400k
654,Julius Beck,Spezia Calcio,Central Midfield,"Apr 27, 2005",18,Denmark,€250k
655,Pietro Candelari,Spezia Calcio,Central Midfield,"Jan 21, 2005",18,Italy,-
656,Emil Holm,Spezia Calcio,Right Midfield,"May 13, 2000",23,Sweden,€5.00m
657,Daniel Maldini,Spezia Calcio,Attacking Midfield,"Oct 11, 2001",21,Italy,€3.00m
658,Kevin Agudelo,Spezia Calcio,Attacking Midfield,"Nov 14, 1998",24,Colombia,€3.00m
659,Viktor Kovalenko,Spezia Calcio,Attacking Midfield,"Feb 14, 1996",27,Ukraine,€1.50m
660,Leonardo Pedicillo,Spezia Calcio,Attacking Midfield,"Jan 20, 2003",20,Italy,€25k
661,Emmanuel Gyasi,Spezia Calcio,Left Winger,"Jan 11, 1994",29,Ghana,€2.00m
662,Suf Podgoreanu,Spezia Calcio,Left Winger,"Jan 20, 2002",21,Israel,€300k
663,Daniele Verde,Spezia Calcio,Right Winger,"Jun 20, 1996",27,Italy,€3.00m
664,Leandro Sanca,Spezia Calcio,Right Winger,"Jan 4, 2000",23,Guinea-Bissau,€400k
665,Ognjen Stijepovic,Spezia Calcio,Second Striker,"Oct 22, 1999",23,Montenegro,€50k
666,M'Bala Nzola,Spezia Calcio,Centre-Forward,"Aug 18, 1996",26,Angola,€8.00m
667,Eldor Shomurodov,Spezia Calcio,Centre-Forward,"Jun 29, 1995",28,Uzbekistan,€6.00m
668,Raimonds Krollis,Spezia Calcio,Centre-Forward,"Oct 28, 2001",21,Latvia,€2.50m
669,David Strelec,Spezia Calcio,Centre-Forward,"Apr 4, 2001",22,Slovakia,€1.10m
670,Samuel Mraz,Spezia Calcio,Centre-Forward,"May 13, 1997",26,Slovakia,€600k
671,Wladimiro Falcone,US Lecce,Goalkeeper,"Apr 12, 1995",28,Italy,€5.00m
672,Federico Brancolini,US Lecce,Goalkeeper,"Jul 14, 2001",21,Italy,€200k
673,Marco Bleve,US Lecce,Goalkeeper,"Oct 18, 1995",27,Italy,€150k
674,Jasper Samooja,US Lecce,Goalkeeper,"Jul 21, 2003",19,Finland,€75k
675,Federico Baschirotto,US Lecce,Centre-Back,"Sep 20, 1996",26,Italy,€8.00m
676,Marin Pongracic,US Lecce,Centre-Back,"Sep 11, 1997",25,Croatia,€4.00m
677,Samuel Umtiti,US Lecce,Centre-Back,"Nov 14, 1993",29,France,€4.00m
678,Pietro Ceccaroni,US Lecce,Centre-Back,"Dec 21, 1995",27,Italy,€1.60m
679,Mert Çetin,US Lecce,Centre-Back,"Jan 1, 1997",26,Türkiye,€1.20m
680,Simone Romagnoli,US Lecce,Centre-Back,"Feb 9, 1990",33,Italy,€750k
681,Kastriot Dermaku,US Lecce,Centre-Back,"Jan 15, 1992",31,Albania,€400k
682,Alessandro Tuia,US Lecce,Centre-Back,"Jun 8, 1990",33,Italy,€400k
683,Mattia Ciucci,US Lecce,Centre-Back,"Nov 11, 2002",20,Italy,€25k
684,Antonino Gallo,US Lecce,Left-Back,"Jan 5, 2000",23,Italy,€2.50m
685,Giuseppe Pezzella,US Lecce,Left-Back,"Nov 29, 1997",25,Italy,€2.50m
686,Gianluca Frabotta,US Lecce,Left-Back,"Jun 24, 1999",24,Italy,€1.40m
687,Valentin Gendrey,US Lecce,Right-Back,"Jun 21, 2000",23,France,€4.00m
688,Arturo Calabresi,US Lecce,Right-Back,"Mar 17, 1996",27,Italy,€1.10m
689,Tommaso Cassandro,US Lecce,Right-Back,"Jan 9, 2000",23,Italy,€900k
690,Mats Lemmens,US Lecce,Right-Back,"Mar 10, 2002",21,Belgium,€100k
691,Morten Hjulmand,US Lecce,Defensive Midfield,"Jun 25, 1999",24,Denmark,€15.00m
692,Alexis Blin,US Lecce,Defensive Midfield,"Sep 16, 1996",26,France,€2.50m
693,Joan González,US Lecce,Central Midfield,"Feb 1, 2002",21,Spain,€6.00m
694,Youssef Maleh,US Lecce,Central Midfield,"Aug 22, 1998",24,Morocco,€4.50m
695,Kristijan Bistrovic,US Lecce,Central Midfield,"Apr 9, 1998",25,Croatia,€2.50m
696,Kristoffer Askildsen,US Lecce,Central Midfield,"Jan 9, 2001",22,Norway,€2.00m
697,Daniel Samek,US Lecce,Central Midfield,"Feb 19, 2004",19,Czech Republic,€1.50m
698,Thórir Jóhann Helgason,US Lecce,Central Midfield,"Sep 28, 2000",22,Iceland,€800k
699,Medon Berisha,US Lecce,Central Midfield,"Oct 21, 2003",19,Albania,€500k
700,Rémi Oudin,US Lecce,Attacking Midfield,"Nov 18, 1996",26,France,€4.00m
701,Lameck Banda,US Lecce,Left Winger,"Jan 29, 2001",22,Zambia,€4.00m
702,Federico Di Francesco,US Lecce,Left Winger,"Jun 14, 1994",29,Italy,€1.80m
703,Francesco Di Mariano,US Lecce,Left Winger,"Apr 20, 1996",27,Italy,€1.40m
704,Marcin Listkowski,US Lecce,Left Winger,"Feb 10, 1998",25,Poland,€300k
705,Gabriel Strefezza,US Lecce,Right Winger,"Apr 18, 1997",26,Brazil,€10.00m
706,Pablo Rodríguez,US Lecce,Second Striker,"Aug 4, 2001",21,Spain,€2.00m
707,Lorenzo Colombo,US Lecce,Centre-Forward,"Mar 8, 2002",21,Italy,€5.00m
708,Assan Ceesay,US Lecce,Centre-Forward,"Mar 17, 1994",29,The Gambia,€2.50m
709,Joel Voelkerling Persson,US Lecce,Centre-Forward,"Jan 15, 2003",20,Sweden,€600k
710,Marco Carnesecchi,US Cremonese,Goalkeeper,"Jul 1, 2000",22,Italy,€13.00m
711,Andrei Radu,US Cremonese,Goalkeeper,"May 28, 1997",26,Romania,€3.50m
712,Mouhamadou Sarr,US Cremonese,Goalkeeper,"Jan 5, 1997",26,Senegal,€400k
713,Gianluca Saro,US Cremonese,Goalkeeper,"Jun 25, 2000",23,Italy,€200k
714,Dorian Ciezkowski,US Cremonese,Goalkeeper,"Mar 22, 2001",22,Poland,€100k
715,Johan Vásquez,US Cremonese,Centre-Back,"Oct 22, 1998",24,Mexico,€3.60m
716,Jack Hendry,US Cremonese,Centre-Back,"May 7, 1995",28,Scotland,€3.00m
717,Emanuel Aiwu,US Cremonese,Centre-Back,"Dec 25, 2000",22,Austria,€3.00m
718,Luka Lochoshvili,US Cremonese,Centre-Back,"May 29, 1998",25,Georgia,€1.80m
719,Luca Ravanelli,US Cremonese,Centre-Back,"Jan 6, 1997",26,Italy,€1.40m
720,Alex Ferrari,US Cremonese,Centre-Back,"Jul 1, 1994",28,Italy,€1.00m
721,Vlad Chiricheș,US Cremonese,Centre-Back,"Nov 14, 1989",33,Romania,€900k
722,Matteo Bianchetti,US Cremonese,Centre-Back,"Mar 17, 1993",30,Italy,€800k
723,Maissa Ndiaye,US Cremonese,Centre-Back,"Jan 28, 2002",21,Senegal,€300k
724,Paolo Gardoni,US Cremonese,Centre-Back,"Jan 1, 2004",19,Italy,€25k
725,Emanuele Valeri,US Cremonese,Left-Back,"Dec 7, 1998",24,Italy,€3.50m
726,Giacomo Quagliata,US Cremonese,Left-Back,"Feb 19, 2000",23,Italy,€2.00m
727,Leonardo Sernicola,US Cremonese,Right-Back,"Jul 30, 1997",25,Italy,€2.00m
728,Paolo Ghiglione,US Cremonese,Right-Back,"Feb 2, 1997",26,Italy,€1.30m
729,Santiago Ascacíbar,US Cremonese,Defensive Midfield,"Feb 25, 1997",26,Argentina,€6.50m
730,Charles Pickel,US Cremonese,Defensive Midfield,"May 15, 1997",26,DR Congo,€3.80m
731,Michele Castagnetti,US Cremonese,Defensive Midfield,"Dec 27, 1989",33,Italy,€700k
732,Paolo Bartolomei,US Cremonese,Defensive Midfield,"Aug 22, 1989",33,Italy,€250k
733,Soualiho Meïté,US Cremonese,Central Midfield,"Mar 17, 1994",29,France,€3.50m
734,Pablo Galdames,US Cremonese,Central Midfield,"Dec 30, 1996",26,Chile,€2.30m
735,Gonzalo Escalante,US Cremonese,Central Midfield,"Mar 27, 1993",30,Argentina,€2.00m
736,Marco Benassi,US Cremonese,Central Midfield,"Sep 8, 1994",28,Italy,€1.50m
737,Tommaso Milanese,US Cremonese,Central Midfield,"Jul 31, 2002",20,Italy,€1.20m
738,Joshua Tenkorang,US Cremonese,Central Midfield,"May 26, 2000",23,Italy,€200k
739,Christian Acella,US Cremonese,Central Midfield,"Jul 7, 2002",20,Italy,€150k
740,Luca Borghesan,US Cremonese,Central Midfield,"Jan 5, 2004",19,Italy,€50k
741,Jaime Báez,US Cremonese,Left Winger,"Apr 25, 1995",28,Uruguay,€1.20m
742,Cristian Buonaiuto,US Cremonese,Left Winger,"Dec 29, 1992",30,Italy,€800k
743,Dennis Politic,US Cremonese,Left Winger,"Mar 5, 2000",23,Romania,€150k
744,Luca Zanimacchia,US Cremonese,Right Winger,"Jul 19, 1998",24,Italy,€1.80m
745,Felix Afena-Gyan,US Cremonese,Centre-Forward,"Jan 19, 2003",20,Ghana,€5.00m
746,Cyriel Dessers,US Cremonese,Centre-Forward,"Dec 8, 1994",28,Nigeria,€5.00m
747,David Okereke,US Cremonese,Centre-Forward,"Aug 29, 1997",25,Nigeria,€4.00m
748,Frank Tsadjout,US Cremonese,Centre-Forward,"Jul 28, 1999",23,Italy,€1.20m
749,Samuel Di Carmine,US Cremonese,Centre-Forward,"Sep 29, 1988",34,Italy,€350k
750,Daniel Ciofani,US Cremonese,Centre-Forward,"Jul 31, 1985",37,Italy,€200k
751,Alberto Basso Ricci,US Cremonese,Centre-Forward,"Jun 29, 2004",19,Italy,€100k
752,Emil Audero,UC Sampdoria,Goalkeeper,"Jan 18, 1997",26,Italy,€6.00m
753,Nikita Contini,UC Sampdoria,Goalkeeper,"May 21, 1996",27,Italy,€500k
754,Martin Turk,UC Sampdoria,Goalkeeper,"Aug 21, 2003",19,Slovenia,€400k
755,Elia Tantalocchi,UC Sampdoria,Goalkeeper,"Jun 30, 2004",19,Italy,€100k
756,Nicola Ravaglia,UC Sampdoria,Goalkeeper,"Dec 12, 1988",34,Italy,€100k
757,Federico Zorzi,UC Sampdoria,Goalkeeper,"Mar 6, 2004",19,Italy,€10k
758,Koray Günter,UC Sampdoria,Centre-Back,"Aug 16, 1994",28,Germany,€3.50m
759,Omar Colley,UC Sampdoria,Centre-Back,"Oct 24, 1992",30,The Gambia,€3.00m
760,Bruno Amione,UC Sampdoria,Centre-Back,"Jan 3, 2002",21,Argentina,€2.70m
761,Maxime Leverbe,UC Sampdoria,Centre-Back,"Feb 15, 1997",26,France,€1.20m
762,Alex Ferrari,UC Sampdoria,Centre-Back,"Jul 1, 1994",28,Italy,€1.00m
763,Bram Nuytinck,UC Sampdoria,Centre-Back,"May 4, 1990",33,Netherlands,€1.00m
764,Jeison Murillo,UC Sampdoria,Centre-Back,"May 27, 1992",31,Colombia,€1.00m
765,Marios Ikonomou,UC Sampdoria,Centre-Back,"Oct 6, 1992",30,Greece,€300k
766,Lorenzo Villa,UC Sampdoria,Centre-Back,"Jul 26, 2003",19,Italy,€75k
767,Arttu Lötjönen,UC Sampdoria,Centre-Back,"Jan 28, 2004",19,Finland,€25k
768,Tommaso Augello,UC Sampdoria,Left-Back,"Aug 30, 1994",28,Italy,€2.00m
769,Nicola Murru,UC Sampdoria,Left-Back,"Dec 16, 1994",28,Italy,€1.00m
770,Alessandro Zanoli,UC Sampdoria,Right-Back,"Oct 3, 2000",22,Italy,€6.00m
771,Fabio Depaoli,UC Sampdoria,Right-Back,"Apr 24, 1997",26,Italy,€3.00m
772,Bartosz Bereszyński,UC Sampdoria,Right-Back,"Jul 12, 1992",30,Poland,€1.60m
773,Andrea Conti,UC Sampdoria,Right-Back,"Mar 2, 1994",29,Italy,€500k
774,Harry Winks,UC Sampdoria,Defensive Midfield,"Feb 2, 1996",27,England,€10.00m
775,Tomás Rincón,UC Sampdoria,Defensive Midfield,"Jan 13, 1988",35,Venezuela,€800k
776,Gerard Yepes,UC Sampdoria,Defensive Midfield,"Aug 25, 2002",20,Spain,€500k
777,Emirhan İlkhan,UC Sampdoria,Central Midfield,"Jun 1, 2004",19,Türkiye,€4.00m
778,Michaël Cuisance,UC Sampdoria,Central Midfield,"Aug 16, 1999",23,France,€3.00m
779,Gonzalo Villar,UC Sampdoria,Central Midfield,"Mar 23, 1998",25,Spain,€2.80m
780,Ronaldo Vieira,UC Sampdoria,Central Midfield,"Jul 19, 1998",24,England,€2.00m
781,Flavio Paoletti,UC Sampdoria,Central Midfield,"Jan 16, 2003",20,Italy,€800k
782,Simone Trimboli,UC Sampdoria,Central Midfield,"Apr 19, 2002",21,Italy,€600k
783,Telasco Segovia,UC Sampdoria,Central Midfield,"Apr 2, 2003",20,Venezuela,€500k
784,Antonio Candreva,UC Sampdoria,Right Midfield,"Feb 28, 1987",36,Italy,€1.50m
785,Lorenzo Malagrida,UC Sampdoria,Left Midfield,"Oct 24, 2003",19,Italy,€400k
786,Abdelhamid Sabiri,UC Sampdoria,Attacking Midfield,"Nov 28, 1996",26,Morocco,€2.50m
787,Valerio Verre,UC Sampdoria,Attacking Midfield,"Jan 11, 1994",29,Italy,€1.80m
788,Filip Djuricic,UC Sampdoria,Attacking Midfield,"Jan 30, 1992",31,Serbia,€1.80m
789,Jesé,UC Sampdoria,Left Winger,"Feb 26, 1993",30,Spain,€1.00m
790,Samuel Ntanda,UC Sampdoria,Left Winger,"Jun 30, 2005",18,Belgium,-
791,Ignacio Pussetto,UC Sampdoria,Right Winger,"Dec 21, 1995",27,Argentina,€2.50m
792,Mehdi Léris,UC Sampdoria,Right Winger,"May 23, 1998",25,Algeria,€2.50m
793,Sam Lammers,UC Sampdoria,Centre-Forward,"Apr 30, 1997",26,Netherlands,€2.00m
794,Manuel De Luca,UC Sampdoria,Centre-Forward,"Jul 17, 1998",24,Italy,€2.00m
795,Manolo Gabbiadini,UC Sampdoria,Centre-Forward,"Nov 26, 1991",31,Italy,€2.00m
796,Francesco Caputo,UC Sampdoria,Centre-Forward,"Aug 6, 1987",35,Italy,€1.50m
797,Daniele Montevago,UC Sampdoria,Centre-Forward,"Mar 18, 2003",20,Italy,€800k
798,Fabio Quagliarella,UC Sampdoria,Centre-Forward,"Jan 31, 1983",40,Italy,€500k
799,Mihailo Ivanovic,UC Sampdoria,Centre-Forward,"Nov 29, 2004",18,Serbia,€150k
