,이름,평점,작성일,내용
1071,임미선,5/5,2024년 2월 11일,짧고 굵게 반복적으로 몰입할 수 있는.
1072,문준식,5/5,2023년 11월 28일,영어 ai랑 얘기를 많이 하고싶다면 스픽 프리미엄 강추.. 달에 2000크레딧이면 자주하시는분들은 부족 하실거에요
1073,박세은,5/5,2024년 2월 26일,접근하기 쉽고 부담없이 할수 있어요
1074,안성균,5/5,2024년 2월 4일,재밌게 배울 수 있는 좋은 어플이네요!
1075,captain,5/5,2024년 1월 31일,첫날이지만 괜찮네... 근데 귀찮게 계속 리뷰써달라고 떠서 그냥 쓴다
1076,조나단,4/5,2024년 1월 14일,발음을 계속 반복해서 직접 들어보고 교정할 수 있어 좋았어요.
1077,김민지,5/5,2023년 11월 19일,업데이트 후에 복습가능하던 채널이 사라졌나요? 아무리 찾아도 없네요..
1078,김혜란,5/5,2024년 3월 20일,반복해서 문장을 말하니까 저절로 암기가되요
1079,SY Kang,1/5,2023년 12월 26일,계정 삭제를 못하게 해놓은건가요? 탈퇴 버튼 누르면 계속 로그인 화면 뜨고 무한 반복인데 어쩌라는건지..
1080,숑숑,2/5,2023년 12월 26일,첫날만 잘 되고 이후부터는 음성인식이 거의 안됨.듣지도 않고 꺼진 후 땡큐포유어웨이팅만 주구잔창 떠요
1081,Grace,5/5,2024년 2월 7일,영어 배우고 연습하기 아주 좋아요
1082,박설하,5/5,2024년 4월 4일,나쁘지 않음 가끔 스피킹 했는데 읽혀지지가 읺을때 있음
1083,정미혜,5/5,2024년 3월 17일,시작한지 얼마 안됐지만 조아용 계속 써볼게용
1084,쨈's꿀,5/5,2023년 12월 24일,영어어플 많이 해봤는데 처음으로 재미있어서 웹툰말고 스픽켜고 있습니다 👌🏻 체험끝나고 금액괜찮으면 꾸준히 해보고싶어요
1085,Spectre,4/5,2024년 1월 13일,혼자서도 영어공부를 할 수 있음. 음성 인식률도 훌륭함.
1086,이승섭,5/5,2024년 3월 7일,좋네요. 비용이 조금만 더 저렴하면 좋을 거 같아요.
1087,정지혜,5/5,2023년 12월 24일,내 수준에 맞게 잘 가르쳐주고 원어민과의 대화창도 ai기능인듯 하지만 재밌네요
1088,홍은진,5/5,2024년 1월 7일,망설였는데 하길 잘했다는 생각이 들어요. 구체적 목표 설정도 동기 부여가 됩니다.
1089,정진효,5/5,2024년 2월 25일,AI가 의외로 좋으네요 왠만한 수업보다 좋은거같음
1090,장대순,5/5,2023년 11월 28일,시작부터 열심히 하고 있습니다 ^^ 계속 말하게 하는 영어 동기부여 많은 영어 어플이네요
1091,신성호,5/5,2023년 10월 27일,"영어공부에 진짜 도움이 되고, 말하기에 있어서 이보다 더 좋은 것을 본적이 없습니다!!!"
1092,셀럽언니,5/5,2024년 1월 27일,처음 수업했는데 재밌네요.. 계속 지루하지 않고 재미있게 했음 좋겠네요
1093,김나영,5/5,2024년 1월 10일,첫수업이지만 재미있어요~ 기억이 쏙쏙 앞으로의 수업도 기대됩니다
1094,김기환,5/5,2024년 1월 26일,왕초보인 저도 쉽게 접근 할 수 있네요 돈 안아깝긴 처음이에요 좋은듯
1095,myung hwan Ko,4/5,2024년 1월 21일,참 좋은 앱 같아요. 기초 연습하기 참좋아요
1096,Rla민정,3/5,2024년 2월 16일,다 좋은데 가끔 일정 단어는 죽어도 못 알아들어요ㅡㅡ
1097,Denice Khleeb2cor,5/5,2023년 12월 28일,자유롭게 영어로 관심있는 상황과 주제에 대해 얘기 해볼수 있어 재밌습니다.
1098,김혜경,5/5,2024년 2월 2일,놀라울 정도로 재밌게 얘기 할수 있네요. 꽤 유용했어요.
1099,최재원,5/5,2023년 10월 26일,"영어 울렁증이라 다운받고도 망설이다 한번 해보니 놀라울정도로 편안했고, 다음 날 까지 기억되네요.ㅋ 선생님 훌륭!"
1100,김미진,5/5,2024년 2월 24일,AI 대화가 전보다 더 좋아졌어요. 진짜 좋은 어플입니다~
1101,김주임,5/5,2023년 11월 30일,웬만하면 리뷰 안 다는데 1회차 수업받고 감명받아서 씁니다. 회화 공부하기 짱이에요
1102,전수민,5/5,2023년 11월 14일,스피킹을 틈틈히 할 수 있다는 것이 가장 큰 장점입니다 가격도 적당하네요 좋습니다
1103,김계리,5/5,2023년 12월 22일,발음과 회화능력 향상에 최곱니다 원어민등장에 긴장ㅋ 자주 익숙해지면 담력도 기르겠어요
1104,kn han (dolwoomool),5/5,2023년 12월 19일,열심히 그리고 지속적으로 공부할 수 있도록 만들어 놓은 프로그램이에요 앞으로도 열심히 공부하겠습니다.
1105,김재은,4/5,2024년 2월 13일,재미있고 다양한 경험사례를 할 수 있어 좋음
1106,최영주,5/5,2023년 12월 6일,내가한 발음을 원어민과 비교하고 반복해서 들을수 있어서 상당히 도움이 됩니다
1107,enha은하 video,5/5,2023년 12월 19일,스피킹 하는것도 쉽고 생각보다 길이가 짧아 짭투리 시간때 하기 정말 좋은거 같아요!
1108,BJ SON,4/5,2024년 4월 1일,태블릿(데이터공유)으로하면 오류가 자주 남
1109,정순영,5/5,2023년 12월 20일,두번째 수업있데 쉽게 잘 해줘서 할 수있을것 같은 자신감이 생겼어요~^^
1110,이연진,5/5,2023년 12월 26일,유용해요~ 발음도 들을수 있고 원하는 문장을 배울수 있어요
1111,김서윤,5/5,2023년 11월 22일,"아직 사용한지 얼마 안 됐지만,, 일상에서 유용한 표현들을 배울 수 있어서 좋아요👍👍👍"
1112,신상엽,5/5,2024년 1월 12일,매일 영어를 말하는 것 만 해도 큰 도움이 되고 자신감이 붙네요
1113,겸마,5/5,2021년 2월 1일,"강의에서 배운 표현들을 별도로 요약해주는 기능이 있으면 좋겠습니다. 강의를 한 번 듣고나면, 간단하게 표현만 체크하고 싶은데, 책갈피 기능으로는 정리가 되지 않고 강의를 다시 듣자니 불필요한 시간 소요가 큽니다. 암기노트 형태의 요약기능이 있다면 좋겠습니다."
1114,박나연,4/5,2023년 10월 24일,짜투리 시간에 틈틈이 공부하기에 좋습니다~ 그런데 숫자 발음 인식이 안되는데 아래 후기에도 그런 글들이 보이는데 개선이 안되는걸까요?
1115,이상아,2/5,2024년 1월 8일,프리토킹하는데 자꾸 예상치 못한 오류가 뜬다고해서 수업중단돼요ㅡㅡ 로딩도 너무 느리고ㅠㅠ 왜이런건가요
1116,전원진,5/5,2024년 1월 8일,설명.발음등 듣고 따라하기 쉽고 자세하게 설명하고 정리해줘서 너무 좋아요
1117,최나영,5/5,2021년 3월 9일,이 앱 개발해주신 분들께 감사드려요. 2주째 매일 공부하고 있답니다! (이런적이 없었는데ㅜㅜ) 소심쟁이인 저는 다른 사람이랑 대화 하면서는 영어를 배울수가 없었어요. 근데 마치 대화 하는 것처럼 영어를 배울수 있어서 너무 좋네요!! 앞으로 다양한 커리큘럼 기대하겠습니다! 스페인어나 중국어등 다른 언어도 만드시면 당장 구입하겠습니다!!
1118,쏘예니예니,5/5,2021년 4월 28일,바쁜 일상 속에서 스피킹 연습 하기가 어려웠는데 구성과 아이디어가 좋은 스피킹 앱인것 같아요 ㅋ 심지어 무료임~ 근데 아쉬운건 스피킹 레벨을 고를 수 없고 처음 기초부터 다시 해야 한다는게 ㅠㅠ 조금 지루한것 같아요 ㅜ 케이크랑 함께.너무 좋은 어플 만들어 주셔서 감사합니다 ㅋ
1119,Joanna Park,4/5,2023년 12월 19일,쉽게 재밌게 배우고 내 발음도 다시 들어보면서 확인하고 좋아요.
1120,이서진,1/5,2022년 7월 26일,"별 한 개도 아까워요. 걸핏하면 오류 뜹니다. 걸핏하면 음성인식 제대로 못하고, 다음 단계로 넘어가야 하는데 버그 걸려 정지 화면으로 기약 없이 제자리. 들어왔다 나가도 그 구간에 진입하면 상황은 똑같습니다. 말하기 부분에서 정지되면 스킵이라고 해서 그 구간을 벗어나고 싶지만 그런 선택이 없어요. 또 어느 땐 제가 듣고자 하는 인강 버튼 누르면 어이없는 문구가 떠요. 출시 예정? 준비 중이라나??? 어제는 들었던 인강을 예습하려고 누르니 오늘부턴 기다려야 한다니 너무 해괴하지 않나요? 암튼 연간 결제한 거가 있어 울며 겨자 먹는 심정으로 이용 중이지만 신규로 이용하려고 하시는 분들은 잘 생각하시고 따져보시고 결정하시길 바라요."
1121,우지훈 (민락사나이),5/5,2024년 1월 10일,30년 인생 완전 영알못인 제가 재미있게 영어를 배울 수 있을 것 같은 자신감이 생겼습니다 영어를 마스터해서 자신있게 대화를 하는 그날 까지 노력하겠습니다
1122,박은정,5/5,2024년 1월 21일,챌린지 달성하는 재미가 있어 계속하게돼요
1123,김맘,5/5,2023년 12월 5일,재밌어요. 지루하지않고.내발음도 들을수있어서 좋아요.원어민이 나오니 긴장감도 있어서 좋네요.
1124,JC,2/5,2023년 12월 24일,갤럭시 사용자인데 음성 인식이 자주 안되는 문제가 심각합니다. 빨리 고쳐주세요.
1125,SeungHan Lee,3/5,2022년 10월 28일,내가 원하는 회화구간을 쉽게 넘어가는 버튼이 있으면 좋을것 같아요. 그리고 발음도 중요하지만 그냥 문장보기가 있으면 좋겠어요. 지하철에서 그냥문장외우기 쉽게요. 발음소리 들기로 시간을 기다려야 해서 불편해요
1126,토끼와거북,5/5,2023년 12월 15일,프리미어 결제했는데 로그인하면 확인이 안됩니다. 12/18일 18시 2분에 결재하였습니다. 확인부탁드려요.
1127,hera H,5/5,2022년 5월 29일,영어 공부를 하면서 뭔가가 막힌 느낌은 받았고 뭐가 문제인지 몰랐어요. 원어민 화상 수업도 듣는데 느는거 같지도 않고요. 그런데 말이죠. 스픽을 하니까..아...어디에 문제가 있었구나 살짝 감이 온달까요(물론 그게 다는 아니지만). 계속 말하는게 얼마나 유용한지 알겠어요. 알고는 있지만 막상 말할때 쓰기 어려웠던 것들이 말하면서 연결되는 느낌이예요. 뭘 공부해야할지 방황하던 2~3개월 전에 알았다면 더 좋았겠어요. 계속 발전해주세요 스픽!
1128,정동규,5/5,2022년 7월 19일,"음성인식만 조금 개선되었으면 좋겠습니다~! 회화 공부하려고 시작한건데, 지루하지 않게 커리큘럼 잘 짜여있어서 공부같지 않고 재밌습니다! 특히, 다른 어플들은 선택지가 너무 중구난방이라 복잡했는데 스픽은 본인 수준에 맞춰서 간단하게 볼 수 있도록 잘만드셨네요ㅎㅎ 굳굳"
1129,son myungho,5/5,2024년 2월 10일,다시 시작한 영어 공부 재미있게 즐기고 이습니다
1130,박연환,5/5,2024년 3월 25일,발음교정에 매우 도움이 됨
1131,차경미,2/5,2021년 11월 5일,이 앱은 음성 인식으로 내 발음 및 문장 테스트 방식로 반복 학습인데 너무 자주 음성인식이 안 되고 음성 인식도 엉터리 예요~ 내가 말 하지 않은 문장이 인식되어 표시 되고 내가말한 문장은 인식 안 될 때도많아요~ 사용하다보면 짜증폭발 지점이 생기는 앱 이고 내용적인 부문 예시도 좀이상한 내용도 있고 특정 브랜드 또는 특정 무언가룰 비하 하는 이해 되지 않는 갑작스런 예시들 많아요~!! 뭔가 이 앱 구성인이 무언가 차별주의적인 사람인가?라는 느낌이 들때가 있어 불편한 감정이 느껴지는 문장들이 있답니다. 사용하면 할수록 비추천 앱 이예요~ 근데 난 1년회원권를 끊었다는 슬픈 현실!!ㅠㅠ
1132,다이스선장,5/5,2023년 8월 27일,"8개월째 사용자입니다. 학원이나 전화영어등 다른플랫폼과 비교하면 일단 그 효과는 월등합니다. 앱 자체만 보면, 특별히 음성인식률이 떨어지는 챕터가 있는거 같네요. 해석때 사람이 검수했다면 나올 수 없는 어색한 번역도 가끔 눈에 띄고요."
1133,yunhwa lee,3/5,2021년 6월 19일,스피킹 연습은 좋은데 자주 멈춤이 발생합니다. 캡쳐해서 제보해도 구체적 확인이 어렵다고 하고 인터넷 환경이 문제는 없는 거 같고 그럼 재설치를 하라고 안내를 해주는데 그럴때마다 계속 재설치를 해야하나요 하유 답답하네요. 일단 1년치 결제를 했으니 계속 하긴합니다....
1134,혜경,5/5,2023년 12월 23일,영어를 말할때 얼버무리는경우가 많았는데 이 앱을 통해서 조금은 고쳐진것 같아서 좋습니다.
1135,Joseph Hong,1/5,2023년 1월 4일,"프리미엄 최소 1년은 썼고 그동안 앱 사용 피드백 설문 참여, 스픽 이용 이벤트? 등도 (매일 사용) 6개월정도 열심히 사용했음 하지만 앱의 기능을 떠나 고객서비스, 대응에서 매우 안좋은 경험을 받았습니다 장점 사람마다 차이는 있겠지만 저는 상황별 괜찮은 커리큘럼을 제공함 가능한 많은 스피킹을 할 수 있게 구성 단점 프리미엄 서비스 이용했는데 위의 장점을 모두 잊게 하는 고객대응 및 관리 (립서비스조차 느낄수없었음)"
1136,Mam ASSET,5/5,2024년 2월 6일,발음연습이 아주잘되요
1137,박수나,4/5,2021년 12월 15일,개발에 무리가 없다면 한국어 나레이션을 끄거나 켤 수 있는 기능이 추가됐으면 좋겠어요. 괜히 한국어 나레이션 듣고 있느라 학습시간만 늘어나는 것 같기도 하고요.. 끝에 나오는 영어 나레이션은 듣기 귀찮으면 넘겨버리면 되는데 한국어는 그게 안 되네요
1138,Yoojin,1/5,2024년 2월 5일,특정 문장에서 계속 멈춰요 오류가 너무많아요ㅠㅠ
1139,Hyun-bai Kim,5/5,2024년 2월 15일,재밌어서 계속 즐기면서 하고 있습니다
1140,Yuri.Bob Oh,5/5,2023년 10월 3일,제가 영어를 해외여행 가서 써 먹을라고 깔았는데 수업이 너무 재밌어서 좋았구요 설명도 잘해주셔서머리에 쏙쏙 잘 들어왔어요 그리고 AI 시스템도 있어서 AI와 말도할수 있어요 사람이 아니라 AI다 보니 자신있게 말할수있어요 그리고 또 AI가 내가 틀리게 말한 부분도 어떻게 말하는지 알려줘요! 이러한 좋은 점도 많으니 저처럼 영어 잘하고 싶은 분들에게 적극 추천 드려요
1141,이동희,5/5,2024년 1월 26일,발음연습에 큰도움이 됩니다.
1142,송창현,5/5,2024년 3월 27일,와우~영어 자신감! Ai가 잘 못 알아들어서 더 크게 애기하네요..ㅡㅡ^ 더 좋은건가? ㅡㅡ 포기하지않아~!!!
1143,sun_jade kang,1/5,2022년 5월 19일,노트8 사용자 입니다. 음성인식이 안되었다고 뜨고 렉 걸려 넘어가지도 않고 그대로 멈춰버립니다. 캐시 삭제. 백그라운드 앱삭제. 기기재부팅. 재설치 모두 해보았습니다. 몇시간째 학습 진행이 안되고 계속 오류 나는데..이런 문제가 계속 된다면 무슨 교육을 받는건지.. 환불 하고싶네요.
1144,이재민,5/5,2024년 1월 27일,아직 초기지만 편하게 부담없이 직접 말 하고 대화해보고 하는 부분이 정말 좋아요 나중에 스스로 어색함이 없어질때쯤 구체적인 리뷰를 다시 남기겠습니다
1145,JM Y,5/5,2024년 3월 14일,무엇이던지 자기의 노력이 중요합니다. 이제 300일이 가까워 지네요. 362일째 입니다
1146,김형진,1/5,2021년 8월 5일,설마 했는데 저도 같은 현상이 나타났네요. 결제되지 않고 일주일 체험후 자동결제 진행여부를 묻는다고 했는데 그런거 없었네요. 카드보니 결제는 이미 되어있더군요. 환불부탁드려요. 프로그램이나 영어공부하기에는 커리큘럼 굉장히 좋은데 저는 사용을 안하게 되서 체험만으로 만족합니다.
1147,S Paik,2/5,2021년 7월 8일,"내용은 좋은데 오류가 오랜기간동안 너무 많이나네요... 전에는 음성인식이 안되고 다음엔 진도나가는 것 자체가 불가능하고... 지금은 마이크와 오디오시스템 접근에 문제가 생겼다고 메일로 문의달라고 하시는데, 메일 피드백이 아무리 빠르고 좋으면 뭐하나요 거의 1년동안 메일문의만 몇번째인지 모르겠어요 이제 지쳐서 문의할 마음도 안듭니다. 그냥 마지막날까지 강의만 들을게요. 혹시 결제해서 이용하실 분들 적은 돈 쓰는것도 아닌데 잘 생각하고 결제하세요"
1148,JH K,1/5,2024년 1월 15일,할인기간에 카드 절대 안되어서 결국 생돈주고 결재함 조건 되는걸로 몇번이나 시도했는데 ㄱㅡ
1149,늘보,4/5,2022년 3월 17일,"다양한 표현을 수준별로, 주제별로 배울 수 있고 외국인과 대화하는 것처럼 스피킹연습을 할 수 있어서 좋습니다. 다만 음성인식이 잘 안되는 경우가 많은데 이건 상당히 짜증나네요."
1150,Lightblue,5/5,2023년 8월 7일,쉽지만 실제 상황에서 쉽게 잘 안나오는 구문연습을 재미있게 할수 있어요.반복되는 스피킹 연습으로 익히기 쉽고 짧게 끊어져 있어서 단시간 연습하기에 최적입니다.강추~!
1151,조은희,4/5,2023년 11월 15일,좀 더 다양한 상황 배울수있으면 좋겠습니다 병원가서 쓰는 표현들도 꼭 만들어주세요
1152,이정훈 (괅삵),5/5,2024년 1월 11일,영어 진짜 포기하고 하나도 안배우다가 30넘어 도전해보게 되네요 잘부탁드립니다
1153,하은경,4/5,2023년 7월 1일,상황별 응용연습에서 끊김이 발생함. 다시 들어가면 그 전까지 대화한 거 다 날아가서 처음부터 대화해야하는데 똑같은 걸 또 하려니까 재미가 급격히 떨어짐...나갔다가 들어와도 저장되면 좋겠음.
1154,권명화,1/5,2023년 6월 12일,"ㅎㅏ...진짜 처음엔 ai랑 대화할 수 있다는 광고에 혹해서 결재했는데,계속 하다보니까 ai가 한정된 말만해서 쉽게 질리고요.또 한두번도 아니고 자꾸 맞는 대답을 했음에도 불구하고 맨날 한번 할 때마다 최소 5번씩은 틀렸다고 나오고 못 알아들어서 진짜 짜증나고 화나네요.매일 이거땜에 짜증나다 보니 성격도 신경질적이게 바뀌고 돈이 너무 아까워요.1점도 아깝습니다."
1155,298번조서정,2/5,2020년 7월 16일,아래 리뷰에 공감합니다. 프로그램 자체는 좋은것같은데 음성인식이 심하게 안되네요 핸드폰에다 대고 고래고래 소리를 질러도 못들었다기에 제 핸드폰마이크의 문제인가 싶어 이어폰으로도 해봤지만 여전히 인식하지못합니다
1156,도형건,4/5,2021년 1월 13일,"문장을 다양함 시제로 쓰는 게 있으면 좋겠어요 예를들면 I’ll fold my shirt,skirt,pants등 뒤에 목적어가 바뀌는 거 뿐만아니라 나는 @@을 이미 갰어, 갤 거야, 갰니? ,개는 중이야 등등 다양한 시제를 예문으로 들어주거나 내용요약본에 한 번씩 정리해주면 훨씬다양한 표현을 쓸 수 있을 거 같아요! 도움도 많아 되구요 ㅎㅎ 좋은 강의 감사합니다"
1157,김우찬,5/5,2020년 5월 25일,기존 영어회화앱들을 이용해 본것과 비교해본다면 스스로말하게끔 유도하는 시스템이 매우 흥미로웠어요. 원어민의 응용질문도 살짝 긴장되고 틀려도 바로 수정해주니 다음질문에 기대감도 생기고 좋네요. 지금 무료체험만 해본터라 더 둘러본후 솔직 후기 다시 남길께요~^^
1158,Wonjun Choi,2/5,2021년 6월 16일,서버관리가 안됩니다.렉이 자주 걸려서 시간 버릴때가 많습니다. 답장-네 인터넷 상황 아주 양호하구요. 한두번이면 이런 말 안 적는데 너무 답답해서 남깁니다. 렉때문에 자주 넘어가질 않아요 참고로 핸드폰도 산지 얼마 안되서 기기문제도 아닙니다. 단순히 어플 문제예요.
1159,yehey choi,5/5,2023년 11월 2일,월1000단어군요 저는 일년다위인지 알고 슬퍼했네요.다행스^^ 두가지 개선점이 있다면 제가 do to를 doing to 이렇게 말해도 패스시키는데 이부분 잘 잡아줬으면 좋겠고 롤플레이에서 저장한 문장들 한국어번역은 같이 저장이 안되서 영어만 뜨더라구요. 복습할때 한국어 자막도 뜨게 개선해주세오!
1160,OS C,2/5,2024년 1월 3일,차량 이동중 블루투스 연결해서 사용하려고 결제했으나 연결문제로 1년동안 거의 제대로 사용을 못했습니다 앱 자체는 좋았으나 차에서 쓰실분들은 참고하세요
1161,김세희,5/5,2023년 12월 26일,영어발음하기 두려웠는데 쉬우면서도 정확하게 안내해줘서 좋네요 자꾸 틀린 발음이라고 지적받아서 이상했는데 녹음된 제 목소리를 바로 들려주니까 정말 틀리게 발음하고 있어서 놀랬어요. 정말 유용하네여~!
1162,melody jin,5/5,2024년 2월 27일,잼있고 공부가ㅈ되네요 새운방식의 수업이 맘에들어요
1163,채아름,5/5,2023년 10월 14일,"스픽 알게되어 너무 행복합니다!! 지금까지 이런 어플은 없었다...완벽쓰~~♡ 그리고 스픽 개발하시는 오너님 마인드가 대박입니다. 할인제공하며 장문의 카톡 보낸 내용보고 울컥, 감명받았어요. 진짜루 대박나세요. 응원합니다. 스픽!!!"
1164,굶주리_,1/5,2022년 5월 17일,결제 전에는 반응 속도도 빠르고 영어공부에 도움이 된다고 생각해서 결제 했더니 결제후 수업 진행하려고 재생 버튼을 눌러 1분을 넘게 기다려도 진행이 안되네요. 자기전에 잠깐씩하려고 결제한건데 너무 후회되네요
1165,Ju Hui Jeong,5/5,2021년 1월 10일,"덕분에 퇴근 후 의무적으로 동기부여 받으며 공부하고 있습니다! 좋은 앱이에요. 근데 한가지 개선 요청 드리는게, 갤럭시 제트플립 사용 중인데 화면이 잘려서 설명 내용을 종종 다 확인하지 못하는 경우가 있습니다. 개선 요청드립니다."
1166,Chanyi TV,5/5,2022년 5월 31일,"난이도와 흥미에 맞게 선택 할 수 있고 그에 맞게 연습 할 수 있어서 좋고, 마지막 부분에 외국인과 실제로 대화하는 것 같아서 도움이 되는 것 같아요. 정말 스피킹 연습하는 데 최고의 앱인듯요."
1167,Junseok Seo,5/5,2024년 2월 27일,여태 영어관련 어플중 최고의 커리큘럼 이네요.강추합니다
1168,Google 사용자,5/5,2019년 8월 27일,"영어를 발음하면 인식을 못 할 경우에 더 완벽하게 하려고 여러번 시도를 하게 되는데, 하다보니 문장을 받아드리는 것 보다 발음에 더 신경쓰게 되서 문장을 응용할 수 있는 기회를 만들기 보다는 발음에 집중한다고 중요한 부분을 놓치는 기분이였어요ㅠ 이 부분은 사람마다 개개인 차이가 있는거겠죠? 아니면 발음을 인식하는 시스템이 원어민 발음을 기준으로 한건지 궁금하네요문장을 응용하는게 핵심이라면 음성인식 프로그램에게 아량을 조금만 넣으면 좋을 것 같다는 생각을 했습니당,,ㅠㅠ 영어는 자신감인데 자신감이 붙으려고하면 주눅 들게되요...!!"
1169,Google 사용자,5/5,2019년 11월 8일,"개인적으로 스픽을 하면서 지니게 된 작은 꿈이 있습니다. 스픽을 통해서 영어를 할 수 있게 되었다고, 무엇보다 많은 도움이 되었다고 자신있게 말할 수 있으면 한다고요. 좋은 학습 환경을 제공해주셔서 고맙다는 말씀을 드립니다. 고맙습니다. ^^"
1170,Gimoon Jeong,5/5,2024년 3월 31일,재밌게 배울수있어서 좋아요
1171,panny chai,4/5,2023년 12월 17일,다른앱에비해 많이 대화하게되고 어떤 관용어나 상황에관한 문장에대해 여러 단어를 대입해서 직접 소리내서 말해보게하는게 좋은거같다
1172,Kyoung Nam,4/5,2023년 12월 23일,연습하면서 훈련되는거 같아요 원어민과 대화하는 느낌을 주려고 많이 고민하신듯하네요
1173,배다,5/5,2023년 12월 13일,영어회화는 말하는연습이 최고입니다! 반복학습 너무 좋아요
1174,권원장 ok,1/5,2023년 12월 23일,빨리 구독취소해주세요ㅡ구독츼소버튼이 어디있는지 안보이게ㅇ해놓고서 구독취소하라고 하나요?2시간을 찾아도 없어요 내가 왜 프레미엄 인지도 모르겠고 왜 결제를 하는지도 모르겠네요
1175,김은진,5/5,2024년 2월 8일,아주 유용한 앱인듯 합니다 좀더 사용해봐야 알겠지만요
1176,MINAH,4/5,2020년 12월 8일,영어를 접하긴 오래됐지만 확실한 자신감을 주지못하는선에서 다들 부족함을 느껴 직장인들도 영어공부를 손에서 떼질 못하는 아이러니한 상황을 겪는 사람들중 한명입니다. 어플 책 카톡영어 전화영어 등등 새로 나왔다 하면 전부 시도해 봤었는데요. 체험만으로 판단 할수없고 더 해봐야 알겠지만 딱 제가 원하는 방식이네요! 너무 길지않은 클래스 시간에 스피킹 위주의 실용적인 영어 학습방식이 맘에들어요 후기를 적을생각이 없었는데 저도 모르게 줄줄이 쓰고있네요 ^-^ 맘에들어요! 아이랑 같이해도 좋을것같아요~
1177,Seok Hwan Kim,5/5,2024년 1월 11일,쉽고 재미있고 강사분들의 발음이 너무 깨끗하고 좋습니다.
1178,백어진,1/5,2023년 8월 21일,정기 결제 구독 취소를 했었는데 결제수단인 카카오페이에 돈이 충전되자마자 129000원이 자동결제되었어요. 그래서 환불요청을 했고 결제내역을 확인해보니 7월20일에 129000원이 결제된것으로 확인되는데 이것은 어떤 오류인가요? 분명히 정기결제 구독 취소를 했었습니다.만약 구매를 했다고 하더라도 앱이용을 하지 않고 48시간내로 문의를 하면 환불해주신다고 들었습니다. 확인부탁드려요.
1179,Yu-na Um,2/5,2023년 1월 31일,"1년결제했는데, 엊그제 업데이트 된 뒤로 음성인식도 제대로 못하구요. 왜 맨날 구독자가 많아서 확인이 지연된다고 하는건지 모르겄네요~ 그리고 Ai튜터는 리플라이에 하나씩 땡겨서 답을 달아요,, 개선이 필요하겠습니다"
1180,민달팽이,5/5,2024년 3월 2일,영어회화 공부에 아주 유익한 앱이에요
1181,Google 사용자,5/5,2020년 3월 3일,"3일차인데 잘 사용중입니다. 다만 제 발음문제인지 서버문제인지 10문장중 4개정도는 음성인식이 제대로 되지 않아, 하나하나 다음으로 넘기고있는 상황은 조금 불편하네요. 나머지는 전체적으로 만족하고 있습니다 감사합니다."
1182,운군,5/5,2024년 2월 2일,재미있어요 꾸준히 반복 반복 중요함
1183,JW Chae,5/5,2024년 3월 29일,쉽게 따라할수 있도록 구성이 잘돼있네요👍👍👍
1184,문희찬,3/5,2024년 4월 3일,리스닝 인식이 잘안되네요
1185,hs kang,1/5,2023년 8월 28일,기존 영어회화 강의는 별로 필요치 않고 AI튜터와의 대화 기능이 있어 13만원에 가까운 돈을 지불하고 사용하는데 몇마디 좀 더 말했다고 크레딧이 부족해 AI와의 대화 불가일 때가 많네요 이번달에는 며칠 하지도 못했어요. 이런 앱인줄 알았다면 결제하지 않았을 거예요. 혹시 저처럼 자유로운 회화연습이 필요하셔서 스픽 고민하시는 분 비추예요. 기존 영어회화 강의와 다를 바 없어요. 내가 말할 기회가 부족한거지 이미 인풋은 충분하거든요.
1186,류영준,4/5,2021년 12월 2일,스픽 덕분에 공부 잘하고 있어요. 근데 블루투스로 연결한 경우 블루투스 마이크로는 인식이 안되는 듯 해요. 여러개 테스트 해봤는데 같은 현상이네요. 답변 부탁해요
1187,권지원,5/5,2021년 1월 17일,대학생인데 나중에 여행갈 때 필요할 것 같은 문장이나 여러 일상 생활에 쓸 수 있는 문장들과 난이도 별로 할 수 있는 클래스까지 있어서 너무 좋고 집중력이 안좋은 편인데 영상 길이도 적당해서 재밌게 하고있어요~
1188,goldensmile황금된장,5/5,2023년 12월 23일,얼마 사용해 보지는 못했지만 은근히 괜찮은 듯. Cake보다 훨 좋을 것 같네요 꾸준히 해 보겠습니다👍
1189,페페,2/5,2023년 5월 11일,음성인식은 포기했으니 모든 챕터 지하철모드라도 가능하게 해주세요. - 음성인식 안되서 넘어갈때까지 딜레이 생겨서 기다리는 것도 스트레스입니다. 경쟁업체 어플 좀 보고 개선하세요. 시간 아까워요
1190,뚱이,5/5,2023년 7월 30일,영어 스피킹 앱으로 최고! 이번에 새롭게 업데이트 된 상황별응용연습 너무 좋아요. 금방 배운거 그대로 회화에 써먹을 수 있고 일단 너무 재밌음. 오류가 좀 많이 있긴 하지만 계속 업데이트 될테니 앞으로 더 좋아지겠죠!
1191,신종빈,5/5,2022년 5월 28일,입으로 맴돌던 영어가 반복으로 인해 조금씩 익숙해지니 재미도 있고 신기하네요. 매일매일 연습하면 목표했던 외국인과의 자유로운 대화가 가능할 수도 있겠다라는 생각이 드는 좋은 앱인 거 같아요. 유용하게 이용하겠습니다.
